province,AYS,SVA,ONT,LSS,APC,GIN,VRO,CIA
saraburi,9.17,75.84,31.75,62.10,1.02,37.61,67.78,72.00
singburi,8.83,88.80,31.27,42.66,1.62,39.18,81.02,57.97
chainat,8.00,69.31,30.08,27.88,0.07,50.99,70.30,57.97
angthong,8.65,85.78,30.40,39.75,-0.45,42.05,75.00,55.02
lopburi,8.56,94.89,32.54,34.88,0.38,39.66,59.65,64.54
ayuthaya,9.32,75.73,30.91,82.80,-0.15,37.48,82.19,79.88
bangkok,11.11,107.02,39.17,95.60,-0.42,33.93,94.70,85.32
samutprakan,9.88,67.32,33.85,72.18,-0.45,24.42,65.72,82.88
prathumthani,10.31,71.41,33.52,65.64,-0.62,40.65,91.86,85.09
sumutsakorn,8.63,53.95,32.26,77.61,-0.61,28.87,93.00,69.29
nakhonpathom,8.08,91.47,36.53,52.28,-0.47,37.59,80.99,62.38
nonthaburi,10.86,80.03,35.01,52.43,-0.72,30.27,94.70,78.18
