  C1,       C2,       C3,       C4,       C5,       C6,       C7, C8
 237,  1.33688,-0.028439,-0.583025,  1.18691,  2.16262,  -1.4939, 44
 238,  2.05879,  1.42947, 0.415714, 0.208991,  -1.8104, -3.68955, 44
 239, -2.52982, 0.507811,-0.203747, -1.29304,  1.13992, -1.87001, 44
 240,  0.39121,  2.09863,  1.51583,  2.29668,  2.90688, 0.303818, 44
 241,   3.0676,  2.76616,  1.05421, -3.81473,  3.80485,  0.70189, 45
 242,  6.66124,  1.41342,  2.39385,  2.96488,  0.59617,  0.92007, 45
 243,  1.29506,  5.20061,  3.84381, 0.136286,-0.723352,  1.15023, 45
 244,  5.87353,  6.80818,  6.08419,  2.99203,  1.42915,  5.93468, 45
 245, -2.77408,  2.52244, 0.782588, -2.93032,  2.69068,  1.08388, 45
 246,  3.10743,  9.51873, -2.20721, -2.41582,-0.532776,   5.4633, 45
 247, -2.09284,  2.76403,  3.25514, 0.419878, -2.03318,  -3.1879, 45
 248, -1.40399, -2.99251,  2.48344, -4.67702,-0.359581, -2.03688, 45
 249,  3.86215,  4.99048,   6.1906,  1.65417,   2.3075, 0.716267, 45
 250,  1.82891,  2.44372,  1.28067, -2.23874, -1.98994, -0.97361, 45
 251, -1.66221, -3.46969, 0.003013, -2.14503,   1.0069,-0.702685, 46
 252, -0.67063, -3.21477,  1.08739, 0.328322,  2.96657, -2.16827, 46
 253,-0.230407, 0.206951, -1.36342,-0.245336,-0.812256, -2.68534, 46
 254,  -3.1333, -1.45237, 0.720775,  0.22875, -3.14294, 0.318043, 46
 255, -1.33531, -3.63715, -1.19664, -1.46855,-0.138272, -3.13073, 46
 256,-0.102127, -3.47222, -3.78299, 0.693569,  4.53524,-0.290491, 46
 257, -0.56047, 0.157187, -0.65088,  1.15425, 0.590831, -3.12737, 46
 258,  5.28284,  1.56525,  1.86325,  1.67049,  1.83208,  1.58361, 46
 259, -1.05997,  6.33281,  1.68542, -2.28325,  1.99466, -4.18581, 46
 260,  -1.9352, -5.04367, -3.20386,  2.65751, -2.81288, -4.02066, 46
 261, 0.948565, -2.05963,  1.54067,  4.46344, -1.05932, 0.306046, 47
 262,  1.20941, -1.46609, -1.05479,  4.81959,-0.661686,  2.05995, 47
 263, -3.42077,   2.0244, -2.27962, -1.80991, -4.64168, -1.31786, 47
 264,  3.77223, -1.53907,  1.98779,  1.94348,  3.82819,  -2.0424, 47
 265,  0.62959, -2.61863,  2.13757,  1.05436,-0.632189,  2.75988, 47
 266,  5.26394, 0.579587,  2.23982,  1.59658, -1.28545,-0.210191, 47
 267,  1.82167, 0.289998, -2.03598,  -2.5475, -6.17993,  1.08777, 47
 268,  2.38737, 0.958622,  2.19803,  5.05237,  1.43131,  2.18514, 47
 269,-0.154978, -1.52164, -4.01455,  2.10966, 0.292325,-0.919506, 47
 270, 0.614534,  -1.4061,  5.32442,  3.78579,  3.05241,  3.18589, 47
 271,  -1.5819, -3.58985, -7.04122,-0.255727, 0.024855, -1.26897, 48
 272,-0.099434,-0.561005, -5.01198, -1.52451, -5.72688, -0.78804, 48
 273, -0.55536, -1.87566, -4.33331,  2.00394, 0.123464, -2.47716, 48
 274,  3.30382,  4.07465,   1.1056,  4.19806, -1.03955, -1.22887, 48
 275,-0.833674,  3.17208, -3.48852,  5.17446,-0.134461, 0.927012, 48
 276,   1.2348,-0.230329, 0.732318, -0.15414, -2.68053, -2.11866, 48
 277,-0.192296, -1.85658, -1.00451,  -1.8391, -3.16241, -2.73184, 48
 278,-0.038001, -2.56508,-0.589545,  4.90122, 0.208282, -1.28169, 48
 279,-0.997295, 0.265232, -2.79344,  3.71743, 0.815551, -5.59244, 48
 280,   1.0594, 0.157432, -2.40604, -1.54262, -4.05944, -5.09081, 48
 281, 0.597052,  2.10253,  1.04854, -1.14088, -3.92077,  4.62078, 49
 282,  5.09373,  4.62086,  1.61052,-0.980379, 0.546757, -1.02686, 49
 283,  2.15746, 0.744062, -2.19169,  5.06433,  2.64617, 0.357907, 49
 284,  1.31655,  1.50705,  5.90028,  3.10031,  4.49221,  6.55736, 49
 285, -1.16101,-0.882938,-0.702887, 0.405714,  2.70109,  2.76281, 49
 286,  0.48243,-0.991475,-0.822029, 0.134163, -1.33433,  3.24416, 49
 287,-0.245989,-0.192768,  1.57606,-0.617414, -1.31461,-0.188248, 49
 288,  2.45093,-0.497079,  4.84125, -4.27906,-0.265077,  2.05701, 49
 289, -2.76919, -2.56899, -2.42732, -5.06147,  2.32413,  2.63063, 49
 290,  2.02326,  1.69025, 0.567934, -1.23206,  3.13372,  1.97594, 49
 291, -1.87768, -2.74334, -3.62941, -6.32284, -4.74118, 0.078866, 50
 292,  3.49574, 0.782737, 0.520742, 0.582757, -1.96641,  4.65105, 50
 293,  5.62042,  3.14026,  2.93821,  4.09622,  1.18655,    3.696, 50
 294,  1.05924,-0.438423,-0.837268,-0.638699, -2.42335,   1.8932, 50
 295, -3.17492,  1.56627, 0.604818, 0.567491,-0.157176,  4.39944, 50
 296,  1.58141, -1.60934,  2.30934, 0.402669, 0.442631, 0.616704, 50
 297,  2.38868, 0.659669,  1.99693,  1.70329, -1.20434, -3.83397, 50
 298, -1.54948, -3.59814, -1.30457,  -4.8599,-0.664351, -2.54806, 50
 299, -2.67243, -4.80593, -5.35026,  1.68008, -1.23155,  1.71344, 50
 300, 0.641898,-0.382042,-0.172234, -3.17389, -5.70874,-0.652696, 50
 301, -3.59918,  3.42681,-0.781726,   1.1743, -4.50784, -2.94549, 51
 302, 0.735192, -2.74741,  -3.4625,  2.41163, -0.67508,   1.7298, 51
 303, 0.233409,   3.5805, -2.35118, -2.65274, -3.07819, 0.357111, 51
 304,  2.19727, -2.01889,-0.210138,  -2.0299, -6.81964,  -4.4528, 51
 305, -4.09102, -1.04984,-0.410075,   2.3822,  4.00893,  4.05326, 51
 306,   3.9577, 0.041824,  1.83093,-0.923077, -1.41602, -0.66755, 51
 307, -1.48892,  2.95902,  2.75909,  -2.0775, 0.067793, 0.168564, 51
 308, -1.73951,  -1.3434, -2.21836,  1.17806,-0.207229, 0.254591, 51
 309,  2.70188,  2.77878,  1.18671,  3.44467,-0.900456,-0.205917, 51
 310, -3.64146,-0.111621, -1.98537, -1.48623,  -4.0744,-0.734094, 51
 311, 0.095847, 0.298669, 0.041909, -1.97506, -3.55804, 0.377889, 52
 312,  1.73348, -2.59007,-0.812351, -3.05601,-0.482871, -2.34805, 52
 313,  2.28383,  4.33799,-0.105811, -2.61927, 0.019291, -1.92271, 52
 314, -1.43329, 0.190298, -1.14145,  -2.3302,-0.667182, -1.55304, 52
 315,-0.247784, -2.53855,   2.4708,-0.744436,-0.883426,  1.16941, 52
 316,  3.25118,  2.80241,  5.95276,  2.19152,  0.73715,  2.29363, 52
 317,  4.09987, 0.040031,  3.56846,-0.935286, -1.92344, 0.633867, 52
 318,  2.18862, 0.391874,  1.90964, -3.06087, 0.046849, 0.736421, 52
 319, 0.763945, -3.90922,  2.16812,  -1.7448, -4.41531, -2.40077, 52
 320,  2.71545, 0.545274,-0.758456, 0.168922, -1.25027, -3.58964, 52
 321,  4.09128, -1.98934,  1.34244,  -4.7857, -3.57826,-0.663004, 53
 322,  2.31519,  3.33677,  2.81898, -0.65985,-0.644703,  2.20576, 53
 323,  2.74386,  4.40886,  2.98504,  1.31204,  5.31816,  9.05704, 53
 324,  1.19124,-0.347478,   5.9488, 0.830791,  0.53464,   3.4492, 53
 325,  -1.6956, -3.52453,-0.774956, -2.17913,-0.626178,-0.173285, 53
 326,  3.19305,   1.0966,  2.95978,  -1.0004, -2.78866,  3.91839, 53
 327,  2.66173, -1.91057,  2.58762, -2.51554, -6.63783, -2.31597, 53
 328, -1.55994,-0.686957, 0.055166,-0.271064, -2.18476, -1.17046, 53
 329, 0.581528, -1.25396,-0.342613,  1.00927, 0.952078,  1.04124, 53
 330, 0.100229, -3.10611,  3.31332,-0.477581, -3.04924,  2.65529, 53
